,Experience Level,Country or Area,Education level,Qualification level,Statutory salary,Measure,Unit of measure,Statutory time,Actual Salary per Hour
3188,Maximum Experience,Switzerland,Primary education,Minimum qualification at this stage of career,92591.613,Statutory teaching time,Hours per year,806.25,114.84231069767442
3189,Maximum Experience,Switzerland,Primary education,Minimum qualification at this stage of career,92591.613,Total statutory working time,Hours per year,1866.0,49.620371382636655
3190,Maximum Experience,Switzerland,Primary education,Most prevalent qualification at this stage of career,92591.613,Statutory teaching time,Hours per year,806.25,114.84231069767442
3191,Maximum Experience,Switzerland,Primary education,Most prevalent qualification at this stage of career,92591.613,Total statutory working time,Hours per year,1866.0,49.620371382636655
3192,No Experience,Switzerland,Upper secondary general education,Minimum qualification at this stage of career,76318.392,Statutory teaching time,Hours per year,637.5,119.71512470588236
3193,No Experience,Switzerland,Upper secondary general education,Minimum qualification at this stage of career,76318.392,Total statutory working time,Hours per year,1866.0,40.89945980707396
3194,No Experience,Switzerland,Upper secondary general education,Most prevalent qualification at this stage of career,76318.392,Statutory teaching time,Hours per year,637.5,119.71512470588236
3195,No Experience,Switzerland,Upper secondary general education,Most prevalent qualification at this stage of career,76318.392,Total statutory working time,Hours per year,1866.0,40.89945980707396
3196,10 years of Experience,Switzerland,Upper secondary general education,Maximum qualification at this stage of career,98468.054,Statutory teaching time,Hours per year,637.5,154.45969254901962
3197,10 years of Experience,Switzerland,Upper secondary general education,Maximum qualification at this stage of career,98468.054,Total statutory working time,Hours per year,1866.0,52.76958949624866
3198,10 years of Experience,Switzerland,Upper secondary general education,Minimum qualification at this stage of career,98468.054,Statutory teaching time,Hours per year,637.5,154.45969254901962
3199,10 years of Experience,Switzerland,Upper secondary general education,Minimum qualification at this stage of career,98468.054,Total statutory working time,Hours per year,1866.0,52.76958949624866
3200,10 years of Experience,Switzerland,Upper secondary general education,Most prevalent qualification at this stage of career,98468.054,Statutory teaching time,Hours per year,637.5,154.45969254901962
3201,10 years of Experience,Switzerland,Upper secondary general education,Most prevalent qualification at this stage of career,98468.054,Total statutory working time,Hours per year,1866.0,52.76958949624866
3202,Maximum Experience,Switzerland,Upper secondary general education,Maximum qualification at this stage of career,117001.44,Statutory teaching time,Hours per year,637.5,183.5316705882353
3203,Maximum Experience,Switzerland,Upper secondary general education,Maximum qualification at this stage of career,117001.44,Total statutory working time,Hours per year,1866.0,62.70173633440515
3204,Maximum Experience,Switzerland,Upper secondary general education,Minimum qualification at this stage of career,117001.44,Statutory teaching time,Hours per year,637.5,183.5316705882353
3205,Maximum Experience,Switzerland,Upper secondary general education,Minimum qualification at this stage of career,117001.44,Total statutory working time,Hours per year,1866.0,62.70173633440515
3206,Maximum Experience,Switzerland,Upper secondary general education,Most prevalent qualification at this stage of career,117001.44,Statutory teaching time,Hours per year,637.5,183.5316705882353
3207,Maximum Experience,Switzerland,Upper secondary general education,Most prevalent qualification at this stage of career,117001.44,Total statutory working time,Hours per year,1866.0,62.70173633440515
3208,No Experience,Türkiye,Lower secondary general education,Maximum qualification at this stage of career,49858.127,Statutory teaching time,Hours per year,520.8,95.73373079877113
3209,No Experience,Türkiye,Lower secondary general education,Maximum qualification at this stage of career,49858.127,Total statutory working time,Hours per year,1576.0,31.635867385786803
3210,No Experience,Türkiye,Lower secondary general education,Maximum qualification at this stage of career,49858.127,Statutory working time required at school,Hours per year,750.0,66.47750266666667
3211,No Experience,Türkiye,Lower secondary general education,Minimum qualification at this stage of career,46822.18,Statutory teaching time,Hours per year,520.8,89.90433947772658
3212,No Experience,Türkiye,Lower secondary general education,Minimum qualification at this stage of career,46822.18,Total statutory working time,Hours per year,1576.0,29.709505076142133
3213,No Experience,Türkiye,Lower secondary general education,Minimum qualification at this stage of career,46822.18,Statutory working time required at school,Hours per year,750.0,62.42957333333333
3214,No Experience,Türkiye,Lower secondary general education,Most prevalent qualification at this stage of career,46822.18,Statutory teaching time,Hours per year,520.8,89.90433947772658
3215,No Experience,Türkiye,Lower secondary general education,Most prevalent qualification at this stage of career,46822.18,Total statutory working time,Hours per year,1576.0,29.709505076142133
3216,No Experience,Türkiye,Lower secondary general education,Most prevalent qualification at this stage of career,46822.18,Statutory working time required at school,Hours per year,750.0,62.42957333333333
3217,10 years of Experience,Türkiye,Lower secondary general education,Maximum qualification at this stage of career,51215.728,Statutory teaching time,Hours per year,520.8,98.34049155145931
3218,10 years of Experience,Türkiye,Lower secondary general education,Maximum qualification at this stage of career,51215.728,Total statutory working time,Hours per year,1576.0,32.497289340101524
3219,10 years of Experience,Türkiye,Lower secondary general education,Maximum qualification at this stage of career,51215.728,Statutory working time required at school,Hours per year,750.0,68.28763733333334
3220,10 years of Experience,Türkiye,Lower secondary general education,Minimum qualification at this stage of career,48180.099,Statutory teaching time,Hours per year,520.8,92.5117108294931
3221,10 years of Experience,Türkiye,Lower secondary general education,Minimum qualification at this stage of career,48180.099,Total statutory working time,Hours per year,1576.0,30.5711288071066
3222,10 years of Experience,Türkiye,Lower secondary general education,Minimum qualification at this stage of career,48180.099,Statutory working time required at school,Hours per year,750.0,64.240132
3223,10 years of Experience,Türkiye,Lower secondary general education,Most prevalent qualification at this stage of career,48180.099,Statutory teaching time,Hours per year,520.8,92.5117108294931
3224,10 years of Experience,Türkiye,Lower secondary general education,Most prevalent qualification at this stage of career,48180.099,Total statutory working time,Hours per year,1576.0,30.5711288071066
3225,10 years of Experience,Türkiye,Lower secondary general education,Most prevalent qualification at this stage of career,48180.099,Statutory working time required at school,Hours per year,750.0,64.240132
